Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
stationary,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.004791749990545213,-1,[0],[-1]
retrain,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.0045065979938954115,-1,[0],[-1]
oracle,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.01216458308044821,1,[0],[0.42477833944663934]
laf,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.0044952050084248185,-1,[0],[-1]
crc,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.004600654006935656,-1,[0],[-1]
temporal,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.0046050980454310775,-1,[0],[-1]
temporal_rev,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.004391555092297494,-1,[0],[-1]
dist,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.004412171081639826,-1,[0],[-1]
dist_leak,lr,0,15,0.008850489937835845,0.2616822429906542,0.5015763088531707,0.017121891561353443,0.5752216605533607,-0.05945450217754289,0.24999824614320065,0.8867825120687485,0.00562066794373095,-1,[0],[-1]
stationary,lr,0,16,0.015742397137745976,0.42105263157894735,0.54144750254842,0.03035006035523366,0.5629926327261454,-0.009203088853083165,0.24999495981884748,1.812128019053489,0.005868256092071533,-1,[0],[-1]
retrain,lr,0,16,0.013898404619751394,0.3397129186602871,0.577940876656473,0.026704278326281146,0.556695547740407,-0.0205353116774176,0.2499928255756214,1.812128019053489,0.006189935957081616,-1,[1],[-1]
oracle,lr,0,16,0.015742397137745976,0.42105263157894735,0.54144750254842,0.03035006035523366,0.5629926327261454,-0.009203088853083165,0.24999495981884748,1.812128019053489,0.02424994995817542,2,"[0, 1]","[0.5629926327261454, 0.44330445225959303]"
laf,lr,0,16,0.015742397137745976,0.42105263157894735,0.54144750254842,0.03035006035523366,0.5629926327261454,-0.009203088853083165,0.24999495981884748,1.812128019053489,0.5646759910741821,15,"[0, 1]",[-1]
crc,lr,0,16,0.013898404619751394,0.3397129186602871,0.577940876656473,0.026704278326281146,0.556695547740407,-0.0205353116774176,0.2499928255756214,1.812128019053489,0.017020616913214326,2,"[1, 0]",[-1]
temporal,lr,0,16,0.015742397137745976,0.42105263157894735,0.54144750254842,0.03035006035523366,0.5629926327261454,-0.009203088853083165,0.24999495981884748,1.812128019053489,0.02073799096979201,1,"[0, 1]","[0.42477833944663934, 0.36895406474275977]"
temporal_rev,lr,0,16,0.013898404619751394,0.3397129186602871,0.577940876656473,0.026704278326281146,0.556695547740407,-0.0205353116774176,0.2499928255756214,1.812128019053489,0.020678324974142015,1,"[1, 0]","[0.42477833944663934, 0.36895406474275977]"
dist,lr,0,16,0.015742397137745976,0.42105263157894735,0.54144750254842,0.03035006035523366,0.5629926327261454,-0.009203088853083165,0.24999495981884748,1.812128019053489,0.03277501103002578,14,"[0, 1]","[0.42477833944663934, 0.36895406474275977]"
dist_leak,lr,0,16,0.015742397137745976,0.42105263157894735,0.54144750254842,0.03035006035523366,0.5629926327261454,-0.009203088853083165,0.24999495981884748,1.812128019053489,0.021584607078693807,14,"[0, 1]","[0.42477833944663934, 0.36895406474275977]"
stationary,lr,0,17,0.01322491287641855,0.3089770354906054,0.5121595539352348,0.025364181662382176,0.5405353357387943,-0.04957564736023358,0.24999482609575532,2.8483781850663945,0.005603883997537196,-1,[0],[-1]
retrain,lr,0,17,0.014728532922603003,0.31941544885177453,0.5470298091357495,0.028158645440323916,0.5550381297376482,-0.03675467940813902,0.24999458819787287,2.8483781850663945,0.0067239729687571526,-1,[2],[-1]
oracle,lr,0,17,0.01322491287641855,0.3089770354906054,0.5121595539352348,0.025364181662382176,0.5405353357387943,-0.04957564736023358,0.24999482609575532,2.8483781850663945,0.034138609073124826,3,"[0, 2, 1]","[0.4594646642612057, 0.3791603723527771, 0.4449618702623518]"
laf,lr,0,17,0.011768286496905752,0.24217118997912318,0.5666309242976625,0.02244582043343653,0.6208396276472229,-0.05294897011520503,0.24999193715650284,2.8483781850663945,0.9655488409334794,16,"[1, 2, 0]",[-1]
crc,lr,0,17,0.011768286496905752,0.24217118997912318,0.5666309242976625,0.02244582043343653,0.6208396276472229,-0.05294897011520503,0.24999193715650284,2.8483781850663945,0.022001486038789153,3,"[1, 2, 0]",[-1]
temporal,lr,0,17,0.01322491287641855,0.3089770354906054,0.5121595539352348,0.025364181662382176,0.5405353357387943,-0.04957564736023358,0.24999482609575532,2.8483781850663945,0.034711909014731646,2,"[0, 1, 2]","[0.5629926327261454, 0.44330445225959303, 0.551978142503825]"
temporal_rev,lr,0,17,0.01322491287641855,0.3089770354906054,0.5121595539352348,0.025364181662382176,0.5405353357387943,-0.04957564736023358,0.24999482609575532,2.8483781850663945,0.03410520707257092,2,"[0, 1, 2]","[0.5629926327261454, 0.44330445225959303, 0.551978142503825]"
